WhatIsYourSex,CurrentAlcoholUse
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
2.0,1.0
2.0,2.0
2.0,1.0
2.0,5.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,6.0
1.0,2.0
2.0,3.0
1.0,1.9041755466098351
1.0,1.0
1.0,2.0
1.0,5.0
1.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
1.0,2.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,5.0
2.0,1.0
1.0,3.0
1.0,4.0
1.0,5.0
1.0,2.0
1.0,2.0
1.0,3.0
2.0,2.0
2.0,5.0
2.0,4.0
1.0,1.0
1.0,2.0
1.0,3.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,3.0
1.0,2.0
1.0,1.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,5.0
2.0,7.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
1.0,1.0
1.0,5.0
1.0,1.0
1.0,5.0
1.0,1.0
1.0,5.0
1.0,2.0
1.0,4.0
2.0,5.0
1.0,1.0
1.0,3.0
1.0,4.0
1.0,3.0
1.0,1.9041755466098351
1.0,1.0
1.0,3.0
1.0,2.0
1.0,1.0
1.0,6.0
1.0,4.0
1.0,1.0
1.0,1.0
1.0,4.0
1.0,1.0
1.0,3.0
1.0,1.0
2.0,1.0
2.0,2.0
2.0,4.0
2.0,1.0
2.0,2.0
2.0,1.9041755466098351
2.0,1.0
2.0,7.0
2.0,4.0
1.0,1.9041755466098351
2.0,1.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,2.0
2.0,7.0
2.0,2.0
2.0,1.9041755466098351
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.9041755466098351
1.0,3.0
1.0,1.9041755466098351
1.0,3.0
1.0,5.0
1.0,2.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,1.0
2.0,1.0
1.0,2.0
1.0,5.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,1.9041755466098351
1.0,3.0
2.0,7.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,2.0
1.0,1.0
1.0,1.9041755466098351
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
2.0,3.0
2.0,4.0
2.0,1.9041755466098351
2.0,3.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,3.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,3.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,4.0
1.0,1.0
1.0,4.0
1.0,1.0
1.0,2.0
1.0,3.0
1.0,7.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,4.0
2.0,3.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,3.0
1.0,4.0
1.0,7.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
2.0,7.0
2.0,1.0
2.0,5.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,6.0
2.0,2.0
2.0,1.0
2.0,3.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,5.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
1.0,1.0
1.0,5.0
1.0,1.0
1.0,4.0
1.0,3.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,6.0
2.0,2.0
2.0,5.0
1.0,2.0
1.0,3.0
2.0,1.0
2.0,1.0
1.0,2.0
1.0,1.0
1.0,4.0
1.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
2.0,1.0
2.0,1.9041755466098351
2.0,2.0
2.0,1.9041755466098351
2.0,2.0
2.0,1.9041755466098351
2.0,1.9041755466098351
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,4.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,3.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,3.0
2.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,2.0
1.0,2.0
1.0,3.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
1.0,2.0
1.0,1.9041755466098351
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,3.0
1.0,4.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
2.0,2.0
1.0,4.0
2.0,2.0
2.0,1.9041755466098351
2.0,2.0
2.0,3.0
2.0,1.0
2.0,4.0
2.0,3.0
2.0,2.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,4.0
2.0,1.0
2.0,5.0
1.0,1.0
2.0,1.0
2.0,3.0
1.0,2.0
1.0,1.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,3.0
1.0,2.0
2.0,2.0
2.0,1.0
1.0,1.9041755466098351
1.0,1.0
1.0,3.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,3.0
1.0,2.0
1.0,2.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,2.0
2.0,5.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
1.0,1.0
2.0,1.0
2.0,3.0
1.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
1.0,1.0
2.0,1.0
1.0,1.9041755466098351
1.0,1.9041755466098351
2.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
2.0,2.0
2.0,1.0
2.0,5.0
1.0,1.0
1.0,1.0
1.0,5.0
2.0,2.0
1.0,1.0
1.0,5.0
1.0,2.0
1.0,2.0
1.0,5.0
1.0,2.0
1.0,4.0
1.0,1.0
2.0,5.0
2.0,3.0
2.0,6.0
2.0,1.0
2.0,6.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,3.0
2.0,1.0
1.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,3.0
2.0,3.0
2.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,2.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,2.0
2.0,4.0
1.0,1.0
1.0,2.0
1.0,1.9041755466098351
1.0,5.0
1.0,2.0
1.0,2.0
1.0,4.0
1.0,3.0
2.0,4.0
2.0,4.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,1.9041755466098351
2.0,5.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,3.0
1.4984317080125464,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,3.0
1.0,2.0
1.0,2.0
1.0,2.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.9041755466098351
2.0,1.0
2.0,2.0
2.0,2.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,2.0
1.0,1.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,4.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,4.0
2.0,2.0
1.0,1.0
1.0,1.0
2.0,2.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,4.0
2.0,3.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,7.0
1.0,2.0
1.0,4.0
1.0,1.0
2.0,1.9041755466098351
2.0,2.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,4.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.9041755466098351
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.9041755466098351
2.0,3.0
1.0,2.0
2.0,2.0
2.0,4.0
2.0,1.0
1.0,2.0
2.0,1.0
2.0,2.0
2.0,3.0
2.0,1.0
1.0,3.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,1.9041755466098351
2.0,4.0
2.0,4.0
1.0,2.0
2.0,1.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
1.0,2.0
2.0,1.0
2.0,1.0
1.0,1.9041755466098351
2.0,1.0
2.0,1.9041755466098351
1.0,2.0
1.0,1.0
2.0,3.0
1.0,2.0
2.0,2.0
1.0,4.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
1.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
1.0,3.0
1.0,1.0
1.0,4.0
1.0,3.0
1.0,3.0
2.0,3.0
2.0,1.0
2.0,4.0
2.0,3.0
2.0,5.0
2.0,1.0
2.0,3.0
2.0,3.0
2.0,3.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,4.0
2.0,1.9041755466098351
2.0,1.0
1.0,1.9041755466098351
1.0,1.0
1.0,3.0
1.0,1.0
1.0,6.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.9041755466098351
1.0,1.0
2.0,1.0
2.0,4.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,2.0
2.0,1.0
1.0,1.0
2.0,1.0
2.0,2.0
2.0,3.0
2.0,2.0
2.0,3.0
2.0,5.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,1.9041755466098351
2.0,1.0
1.0,1.0
1.0,1.0
1.0,4.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,7.0
2.0,3.0
2.0,7.0
2.0,1.0
2.0,5.0
2.0,1.9041755466098351
2.0,5.0
2.0,1.0
2.0,1.9041755466098351
2.0,5.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.9041755466098351
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,3.0
2.0,2.0
2.0,1.9041755466098351
2.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,2.0
2.0,3.0
2.0,2.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,3.0
2.0,3.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,2.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,4.0
2.0,1.9041755466098351
2.0,1.0
2.0,4.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.9041755466098351
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,3.0
1.0,2.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,1.0
1.0,3.0
1.0,4.0
1.0,3.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,5.0
2.0,3.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,5.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,2.0
2.0,1.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,2.0
1.0,1.0
1.0,1.0
2.0,3.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,4.0
1.0,4.0
1.0,3.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,1.0
2.0,3.0
2.0,1.9041755466098351
2.0,3.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,5.0
1.0,1.0
1.0,1.0
1.0,1.0
1.4984317080125464,4.0
2.0,1.0
2.0,5.0
2.0,1.9041755466098351
2.0,1.0
2.0,3.0
2.0,5.0
2.0,1.0
2.0,2.0
2.0,6.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,4.0
2.0,2.0
2.0,4.0
2.0,1.0
2.0,1.0
2.0,5.0
2.0,1.0
2.0,1.0
1.0,3.0
1.0,2.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,2.0
1.0,3.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,2.0
2.0,4.0
2.0,5.0
2.0,4.0
2.0,2.0
2.0,4.0
2.0,2.0
2.0,1.0
2.0,5.0
1.4984317080125464,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,3.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,5.0
2.0,7.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,4.0
2.0,5.0
2.0,7.0
2.0,1.9041755466098351
2.0,1.9041755466098351
2.0,2.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,6.0
2.0,2.0
1.0,5.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,3.0
2.0,3.0
2.0,3.0
1.0,5.0
2.0,1.0
2.0,3.0
2.0,7.0
2.0,2.0
2.0,4.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,4.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,4.0
1.0,1.0
1.0,2.0
2.0,4.0
2.0,2.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,5.0
2.0,3.0
2.0,7.0
1.0,2.0
1.0,1.0
1.0,5.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,3.0
1.0,2.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,5.0
2.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,1.0
1.0,5.0
1.0,3.0
1.0,2.0
2.0,1.0
2.0,3.0
2.0,3.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,3.0
2.0,5.0
2.0,1.0
2.0,1.0
1.0,1.0
2.0,3.0
2.0,2.0
1.0,1.9041755466098351
2.0,5.0
2.0,5.0
2.0,3.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.0
2.0,3.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
2.0,4.0
1.0,1.0
1.0,2.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,4.0
1.0,1.0
1.0,2.0
1.0,2.0
1.0,3.0
1.0,2.0
1.0,3.0
1.0,1.0
1.0,2.0
2.0,2.0
2.0,2.0
2.0,3.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,2.0
2.0,3.0
2.0,6.0
2.0,3.0
2.0,7.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,5.0
2.0,3.0
2.0,1.0
2.0,3.0
2.0,1.0
2.0,3.0
2.0,2.0
2.0,1.0
1.0,2.0
1.0,2.0
1.0,3.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,4.0
1.0,1.0
2.0,2.0
2.0,1.0
2.0,5.0
1.0,1.0
1.0,2.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,4.0
1.0,1.0
1.0,4.0
1.0,4.0
2.0,2.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,2.0
2.0,1.0
1.0,1.0
1.0,1.9041755466098351
1.0,2.0
2.0,1.0
2.0,4.0
2.0,2.0
2.0,1.0
1.0,1.0
1.0,2.0
1.0,1.9041755466098351
1.0,2.0
1.0,1.0
1.0,4.0
2.0,4.0
2.0,1.0
2.0,1.0
1.0,2.0
1.0,4.0
1.0,1.0
1.0,1.9041755466098351
1.0,4.0
2.0,4.0
1.0,1.0
1.0,5.0
1.0,4.0
1.0,5.0
1.0,5.0
1.0,5.0
1.0,2.0
1.0,1.0
1.0,6.0
2.0,4.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,2.0
2.0,2.0
1.0,2.0
1.0,2.0
1.0,4.0
1.0,2.0
1.0,4.0
1.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,4.0
2.0,1.0
2.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,4.0
1.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,3.0
2.0,1.0
2.0,4.0
1.0,1.9041755466098351
1.0,2.0
1.0,1.0
1.0,2.0
1.0,4.0
1.0,2.0
2.0,1.0
2.0,4.0
2.0,1.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
2.0,4.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,3.0
2.0,3.0
2.0,3.0
2.0,2.0
1.0,5.0
2.0,3.0
2.0,3.0
2.0,2.0
2.0,7.0
2.0,4.0
2.0,5.0
2.0,1.0
2.0,2.0
1.0,3.0
1.0,3.0
1.0,5.0
1.0,4.0
1.0,4.0
1.0,4.0
1.0,4.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,3.0
2.0,2.0
2.0,1.0
2.0,4.0
2.0,3.0
2.0,3.0
2.0,1.0
2.0,7.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,2.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,2.0
2.0,2.0
1.0,3.0
1.0,4.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,3.0
1.0,4.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,2.0
2.0,4.0
2.0,2.0
2.0,4.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,3.0
2.0,5.0
2.0,1.0
2.0,1.0
2.0,1.0
1.0,1.0
2.0,5.0
2.0,5.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,4.0
2.0,1.0
2.0,2.0
2.0,3.0
2.0,1.0
2.0,1.9041755466098351
2.0,4.0
2.0,1.0
2.0,4.0
1.0,2.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,4.0
1.0,1.9041755466098351
1.0,1.0
1.0,2.0
1.0,1.0
2.0,4.0
1.0,5.0
2.0,3.0
2.0,1.0
2.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,2.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
1.0,1.0
1.0,1.0
1.0,1.9041755466098351
2.0,2.0
2.0,1.9041755466098351
2.0,1.0
2.0,1.0
1.0,2.0
1.0,2.0
1.0,2.0
1.0,4.0
1.0,1.9041755466098351
1.0,5.0
1.0,1.0
2.0,2.0
2.0,5.0
2.0,3.0
2.0,5.0
2.0,1.0
2.0,5.0
2.0,6.0
2.0,3.0
2.0,1.9041755466098351
2.0,4.0
2.0,2.0
2.0,2.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.9041755466098351
2.0,3.0
2.0,2.0
2.0,1.9041755466098351
2.0,3.0
2.0,5.0
1.0,3.0
2.0,4.0
2.0,1.0
1.0,4.0
1.0,3.0
1.0,2.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,4.0
1.0,4.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,1.0
2.0,6.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,1.9041755466098351
1.0,1.9041755466098351
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,4.0
2.0,5.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,3.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,5.0
2.0,4.0
2.0,4.0
2.0,5.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,2.0
2.0,3.0
2.0,4.0
2.0,5.0
2.0,4.0
2.0,2.0
2.0,2.0
2.0,5.0
1.0,2.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
1.0,1.0
1.0,4.0
1.0,2.0
1.0,3.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,5.0
2.0,2.0
2.0,1.0
2.0,4.0
2.0,2.0
2.0,2.0
2.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,3.0
2.0,2.0
2.0,2.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
1.0,2.0
1.0,2.0
1.0,1.0
1.0,3.0
1.0,1.9041755466098351
1.0,1.0
1.0,3.0
1.0,1.0
1.0,2.0
1.0,1.0
2.0,1.9041755466098351
2.0,1.9041755466098351
2.0,1.9041755466098351
2.0,2.0
1.0,1.9041755466098351
1.0,1.0
1.0,1.0
2.0,4.0
2.0,3.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
2.0,3.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,5.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,3.0
1.0,2.0
1.0,3.0
2.0,1.0
2.0,2.0
2.0,7.0
2.0,1.0
2.0,4.0
2.0,1.0
2.0,1.0
2.0,1.9041755466098351
2.0,1.0
1.0,1.0
2.0,3.0
2.0,6.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,3.0
1.0,1.0
1.0,1.0
1.0,2.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
2.0,1.0
